iter	Passed	Remaining
758	69816	22168
759	69866	22063
760	70064	22004
761	70069	21885
762	70072	21765
763	70261	21703
764	70379	21619
765	70410	21509
766	70597	21446
767	70774	21379
768	70943	21310
769	71110	21240
770	71292	21175
771	71478	21110
772	71663	21044
773	71842	20977
774	71852	20860
775	71858	20742
776	72022	20670
777	72184	20597
778	72294	20509
779	72478	20442
780	72640	20369
781	72807	20296
782	72969	20222
783	72975	20105
784	73132	20029
785	73312	19960
786	73472	19885
787	73651	19814
788	73831	19744
789	74021	19676
790	74024	19558
791	74200	19486
792	74380	19415
793	74397	19302
794	74562	19226
795	74725	19150
796	74909	19079
797	75075	19004
798	75081	18887
799	75262	18815
800	75441	18742
801	75447	18626
802	75451	18510
803	75455	18394
804	75627	18319
805	75787	18241
806	75963	18167
807	76164	18098
808	76354	18026
809	76514	17947
810	76679	17869
811	76838	17790
812	77001	17711
813	77176	17634
814	77181	17519
815	77365	17445
816	77528	17365
817	77694	17286
818	77697	17171
819	77861	17091
820	78038	17014
821	78205	16934
822	78366	16854
823	78369	16739
824	78557	16663
825	78725	16583
826	78923	16509
827	79091	16429
828	79095	16315
829	79148	16211
830	79347	16136
831	79522	16057
832	79698	15977
833	79872	15897
834	80042	15816
835	80210	15735
836	80415	15660
837	80614	15584
838	80798	15504
839	80996	15427
840	81111	15334
841	81301	15256
842	81313	15143
843	81319	15030
844	81482	14946
845	81651	14863
846	81710	14760
847	81883	14677
848	82056	14594
849	82235	14512
850	82395	14426
851	82562	14341
852	82726	14256
853	82896	14172
854	83075	14088
855	83247	14004
856	83427	13920
857	83608	13837
858	83770	13750
859	83948	13665
860	84121	13580
861	84294	13494
862	84346	13389
863	84513	13303
864	84516	13190
865	84700	13106
866	84862	13018
867	85033	12931
868	85037	12819
869	85040	12707
870	85224	12622
871	85407	12536
872	85577	12449
873	85581	12337
874	85777	12253
875	85944	12165
876	86110	12077
877	86289	11990
878	86455	11901
879	86615	11811
880	86644	11703
881	86648	11592
882	86652	11481
883	86836	11394
884	86839	11284
885	86841	11173
886	87014	11085
887	87021	10975
888	87192	10886
889	87363	10797
890	87540	10709
891	87699	10618
892	87869	10528
893	88042	10439
894	88204	10347
895	88365	10256
896	88530	10165
897	88706	10075
898	88875	9984
899	89035	9892
900	89211	9802
901	89377	9710
902	89537	9618
903	89701	9525
904	89874	9434
905	90048	9342
906	90054	9233
907	90223	9141
908	90411	9051
909	90589	8959
910	90770	8867
911	90774	8758
912	90957	8667
913	91131	8574
914	91308	8482
915	91470	8388
916	91633	8294
917	91802	8200
918	91968	8106
919	92135	8011
920	92244	7912
921	92405	7817
922	92561	7721
923	92720	7626
924	92890	7531
925	93061	7436
926	93243	7342
927	93413	7247
928	93573	7151
929	93733	7055
930	93893	6958
931	94057	6862
932	94230	6766
933	94399	6670
934	94553	6573
935	94713	6476
936	94875	6379
937	95046	6282
938	95214	6185
939	95400	6089
940	95576	5992
941	95762	5896
942	95928	5798
943	96106	5701
944	96275	5603
945	96441	5505
946	96606	5406
947	96775	5308
948	96938	5209
949	97101	5110
950	97277	5012
951	97446	4913
952	97613	4814
953	97797	4715
954	97962	4616
955	98119	4515
956	98283	4416
957	98449	4316
958	98611	4215
959	98779	4115
960	98947	4015
961	99115	3915
962	99281	3814
963	99445	3713
964	99604	3612
965	99763	3511
966	99932	3410
967	100094	3308
968	100268	3207
969	100443	3106
970	100620	3005
971	100778	2903
972	100940	2801
973	101130	2699
974	101308	2597
975	101484	2495
976	101652	2393
977	101809	2290
978	101982	2187
979	102177	2085
980	102355	1982
981	102513	1879
982	102687	1775
983	102854	1672
984	103024	1568
985	103201	1465
986	103383	1361
987	103549	1257
988	103716	1153
989	103882	1049
990	104046	944
991	104215	840
992	104383	735
993	104556	631
994	104730	526
995	104892	421
996	105056	316
997	105240	210
998	105426	105
999	105608	0
